key,name,moment,subject,text,score,recommended
review-23,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,5,TRUE
review-24,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,5,TRUE
review-25,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,لوريم إيبسوم,5,TRUE
review-26,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,洛伦·伊普森,5,TRUE
review-27,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,5,TRUE
review-28,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5,TRUE
review-29,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,' or 'A' = 'A,5,TRUE
#score variations
review-30,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,0,TRUE
review-31,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,1,TRUE
review-32,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,9,TRUE
review-33,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,10,TRUE
review-34,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,,TRUE
#recommended variations
review-35,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,FALSE
review-36,Lorem ipsum dolor sit ame,2012/07/02 00:00,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,
